site_code,platform_code,deployment_code,instrument_nominal_depth,TIME,LATITUDE,LONGITUDE,DEPTH,DEPTH_quality_control,TEMP,TEMP_quality_control,CNDC,CNDC_quality_control,PSAL,PSAL_quality_control,PRES_REL,PRES_REL_quality_control
NRSROT,NRSROT,NRSROT-1804,24,2018-04-06T08:00:01Z,-31.9896,115.3854,25.678,1,21.9479,1,5.0879,1,35.7573,1,25.86,1
NRSROT,NRSROT,NRSROT-1804,24,2018-04-06T08:15:01Z,-31.9896,115.3854,26.008,1,21.967,1,5.0877,1,35.739,1,26.192,1
NRSROT,NRSROT,NRSROT-1804,24,2018-04-06T08:30:01Z,-31.9896,115.3854,26.023,1,21.9537,1,5.0864,1,35.7403,1,26.208,1
NRSROT,NRSROT,NRSROT-1804,24,2018-04-06T08:45:01Z,-31.9896,115.3854,26.037,1,21.9494,1,5.0878,1,35.7548,1,26.221,1
NRSROT,NRSROT,NRSROT-1804,24,2018-04-06T09:00:01Z,-31.9896,115.3854,26.097,1,21.9611,1,5.0878,1,35.7452,1,26.282,1
NRSROT,NRSROT,NRSROT-1804,24,2018-04-06T09:15:01Z,-31.9896,115.3854,25.62,1,21.961,1,5.0884,1,35.7502,1,25.802,1
NRSROT,NRSROT,NRSROT-1804,24,2018-04-06T09:30:01Z,-31.9896,115.3854,25.95,1,21.9656,1,5.0886,1,35.7477,1,26.134,1
NRSROT,NRSROT,NRSROT-1804,24,2018-04-06T09:45:01Z,-31.9896,115.3854,25.806,1,21.9716,1,5.0907,1,35.7594,1,25.988,1
NRSROT,NRSROT,NRSROT-1804,24,2018-04-06T10:00:01Z,-31.9896,115.3854,26.177,1,21.9743,1,5.0895,1,35.7479,1,26.362,1
NRSROT,NRSROT,NRSROT-1804,24,2018-04-06T10:15:01Z,-31.9896,115.3854,25.835,1,21.9673,1,5.0875,1,35.7379,1,26.018,1
NRSROT,NRSROT,NRSROT-1804,24,2018-04-06T10:30:01Z,-31.9896,115.3854,25.893,1,21.9558,1,5.0888,1,35.7577,1,26.076,1
NRSROT,NRSROT,NRSROT-1804,24,2018-04-06T10:45:01Z,-31.9896,115.3854,25.962,1,21.9454,1,5.087,1,35.7519,1,26.146,1
NRSROT,NRSROT,NRSROT-1804,24,2018-04-06T11:00:01Z,-31.9896,115.3854,26.104,1,21.9445,1,5.0891,1,35.7693,1,26.289,1
NRSROT,NRSROT,NRSROT-1804,24,2018-04-06T11:15:01Z,-31.9896,115.3854,26.037,1,21.9478,1,5.0892,1,35.7669,1,26.221,1
NRSROT,NRSROT,NRSROT-1804,24,2018-04-06T11:30:01Z,-31.9896,115.3854,26.009,1,21.945,1,5.0906,1,35.7805,1,26.193,1
NRSROT,NRSROT,NRSROT-1804,24,2018-04-06T11:45:01Z,-31.9896,115.3854,26.083,1,21.9604,1,5.093,1,35.787,1,26.267,1
NRSROT,NRSROT,NRSROT-1804,24,2018-04-06T12:00:01Z,-31.9896,115.3854,25.902,1,21.9478,1,5.0927,1,35.7952,1,26.085,1
